stop_name;stop_lon;stop_lat;shortName;mode;Pointgeo;Nom_commune;code postal
Les Rabats - Armand Guillebaud;2.313892582176428;48.74547022515207;197;Bus;48.74547022515207, 2.3138925821764276;Antony;92002
Gabriel Pï¿½ri;2.3253663582088366;48.81848701959246;197;Bus;48.81848701959246, 2.3253663582088366;Montrouge;92049
Lï¿½on Gambetta;2.3257163063808743;48.81354236873645;197;Bus;48.81354236873645, 2.3257163063808743;Montrouge;92049
Citï¿½ Jardins;2.319177459660579;48.78971622360909;197;Bus;48.78971622360909, 2.319177459660579;Bagneux;92007
La Fontaine;2.311471464738967;48.77024467976905;197;Bus;48.77024467976905, 2.311471464738967;Antony;92002
Saussaye - Mirabeau;2.298086742319666;48.73855154424168;197;Bus;48.73855154424168, 2.298086742319666;Antony;92002
Centre Sportif Lionel Terray;2.2866723320458613;48.73494903587061;197;Bus;48.73494903587061, 2.2866723320458613;Antony;92002
Mairie de Quartier - C.A.F;2.2680196988739048;48.929713493035685;366;Bus;48.929713493035685, 2.2680196988739048;Colombes;92025
Solfï¿½rino;2.2678673880033324;48.93180792860297;366;Bus;48.93180792860297, 2.2678673880033324;Colombes;92025
Les Agnettes;2.2856240763754414;48.92292209460056;366;Bus;48.92292209460056, 2.2856240763754414;Asniï¿½res-sur-Seine;92004
Debussy - Chandon;2.29737155299364;48.9230994736622;366;Bus;48.9230994736622, 2.29737155299364;Gennevilliers;92036
Barbusse;2.300188399863896;48.921668081687926;366;Bus;48.921668081687926, 2.300188399863896;Gennevilliers;92036
Lycï¿½e Galilï¿½e;2.303428688284032;48.920194119848055;366;Bus;48.920194119848055, 2.303428688284032;Gennevilliers;92036
Pierre Curie;2.3120682523733045;48.91903896996983;366;Bus;48.91903896996983, 2.3120682523733045;Asniï¿½res-sur-Seine;92004
Olympe de Gouges;2.317984773765964;48.918434289626;366;Bus;48.918434289626, 2.3179847737659642;Asniï¿½res-sur-Seine;92004
Robert Lavergne;2.272298951714846;48.92821973828314;366;Bus;48.92821973828314, 2.2722989517148466;Asniï¿½res-sur-Seine;92004
Marchï¿½ Marceau;2.265362008307376;48.929445426074025;366;Bus;48.929445426074025, 2.2653620083073758;Colombes;92025
Prï¿½sident Kennedy;2.259413099256766;48.92835662723096;366;Bus;48.928356627230954, 2.259413099256766;Colombes;92025
Gare de Colombes;2.259447497843139;48.92402219741994;366;Bus;48.92402219741994, 2.259447497843139;Colombes;92025
Rhin et Danube;2.256469966348417;48.923239348212284;366;Bus;48.923239348212284, 2.256469966348417;Colombes;92025
Lavoisier;2.1745861973906284;48.894967995041455;367;Bus;48.894967995041455, 2.1745861973906284;Nanterre;92050
Les Guilleraies;2.1829875904915803;48.89500762151432;367;Bus;48.895007621514324, 2.1829875904915803;Nanterre;92050
Ernest Renan;2.190879631185344;48.89534899257002;367;Bus;48.89534899257002, 2.190879631185344;Nanterre;92050
Nanterre - Ville RER;2.1974237935213425;48.89553692335751;367;Bus;48.89553692335751, 2.1974237935213425;Nanterre;92050
Soufflot;2.2133459016168398;48.897944864403;367;Bus;48.897944864403, 2.2133459016168393;Nanterre;92050
Nanterre - Universitï¿½ RER;2.2145521828392685;48.90026406180903;367;Bus;48.900264061809025, 2.2145521828392685;Nanterre;92050
Les Peupliers;2.2154699730008933;48.91268075599266;367;Bus;48.91268075599266, 2.2154699730008933;Nanterre;92050
Hautes Pï¿½tures;2.2208179826927736;48.91818350470598;367;Bus;48.91818350470598, 2.2208179826927736;Nanterre;92050
Rue des Hautes Patures nï¿½11;2.216052921242756;48.91383570040909;367;Bus;48.91383570040909, 2.2160529212427558;Nanterre;92050
Universitï¿½ - Paris 10;2.2187008193915374;48.90378058954264;367;Bus;48.903780589542635, 2.2187008193915374;Nanterre;92050
Soufflot;2.2120635636142736;48.89795442103004;367;Bus;48.897954421030036, 2.2120635636142736;Nanterre;92050
Paul Bert;2.200707154373542;48.89667405808017;367;Bus;48.89667405808017, 2.200707154373542;Nanterre;92050
Jules Quentin;2.191783247796341;48.895130260360354;367;Bus;48.895130260360354, 2.191783247796341;Nanterre;92050
Edouard Belin;2.1691653502519355;48.88764583464717;367;Bus;48.88764583464717, 2.1691653502519355;Rueil-Malmaison;92063
Gramme;2.267144906762406;48.92495983388213;378;Bus;48.92495983388213, 2.267144906762406;Colombes;92025
Les Ormes;2.2189037569423795;48.910257043826405;378;Bus;48.910257043826405, 2.2189037569423795;Nanterre;92050
Pont de Rouen;2.21339165050514;48.90845830304741;378;Bus;48.908458303047404, 2.2133916505051396;Nanterre;92050
Nanterre - Ville RER - Faidherbe;2.196269288227125;48.89610475517475;378;Bus;48.89610475517475, 2.196269288227125;Nanterre;92050
Nanterre - Ville RER - Faidherbe;2.196683062336264;48.896692099215365;378;Bus;48.896692099215365, 2.196683062336264;Nanterre;92050
Universitï¿½ Paris 10;2.210120647476075;48.90554095269864;378;Bus;48.905540952698644, 2.210120647476075;Nanterre;92050
Gramme;2.2689000827391745;48.92533927002979;378;Bus;48.92533927002979, 2.2689000827391745;Bois-Colombes;92009
Abbï¿½ Lemire;2.2801096264397027;48.92892340318667;378;Bus;48.92892340318667, 2.2801096264397027;Asniï¿½res-sur-Seine;92004
Les Blains;2.3157352284652872;48.7927095764573;388;Bus;48.7927095764573, 2.3157352284652872;Bagneux;92007
Martyrs de Chateaubriant - Mï¿½tro;2.3187471794152987;48.80181973738839;388;Bus;48.801819737388385, 2.3187471794152987;Bagneux;92007
Mairie de Chï¿½tillon;2.29113583057083;48.79981540497437;388;Bus;48.79981540497437, 2.29113583057083;Chï¿½tillon;92020
Etienne Dolet;2.302698527837153;48.81377908728838;388;Bus;48.81377908728838, 2.302698527837153;Montrouge;92049
12 fï¿½vrier 1934;2.3087005730490504;48.81815798652167;388;Bus;48.81815798652167, 2.3087005730490504;Montrouge;92049
